x,y,model0,score0,model1,score1,model2,score2
4,8,_model_00004_0_0.239_692224_.zip,0.16,_model_00008_0_0.226_1388544_.zip,0.08,base,-0.24
4,9,_model_00004_0_0.239_692224_.zip,0.22,_model_00009_0_0.223_1429504_.zip,0.2,base,-0.42
4,10,_model_00004_0_0.239_692224_.zip,0.19,_model_00010_0_0.201_2207744_.zip,0.02,base,-0.21
5,0,_model_00005_0_0.289_774144_.zip,0.51,base,-0.3,base,-0.21
5,1,_model_00005_0_0.289_774144_.zip,0.2,_model_00001_0_0.349_36864_.zip,0.13,base,-0.33
5,2,_model_00005_0_0.289_774144_.zip,0.24,_model_00002_0_0.256_77824_.zip,0.06,base,-0.3
5,3,_model_00005_0_0.289_774144_.zip,0.21,_model_00003_0_0.256_610304_.zip,0.12,base,-0.33
5,4,_model_00005_0_0.289_774144_.zip,0.12,_model_00004_0_0.239_692224_.zip,0.18,base,-0.3
5,5,_model_00005_0_0.289_774144_.zip,0.25,_model_00005_0_0.289_774144_.zip,0.09,base,-0.34
5,6,_model_00005_0_0.289_774144_.zip,0.26,_model_00006_0_0.244_937984_.zip,0.22,base,-0.48
5,7,_model_00005_0_0.289_774144_.zip,0.23,_model_00007_0_0.201_1183744_.zip,-0.04,base,-0.19
5,8,_model_00005_0_0.289_774144_.zip,0.12,_model_00008_0_0.226_1388544_.zip,-0.07,base,-0.05
5,9,_model_00005_0_0.289_774144_.zip,0.13,_model_00009_0_0.223_1429504_.zip,0.21,base,-0.34
5,10,_model_00005_0_0.289_774144_.zip,0.18,_model_00010_0_0.201_2207744_.zip,0.21,base,-0.39
6,0,_model_00006_0_0.244_937984_.zip,0.37,base,-0.33,base,-0.04
6,1,_model_00006_0_0.244_937984_.zip,0.22,_model_00001_0_0.349_36864_.zip,-0.01,base,-0.21
6,2,_model_00006_0_0.244_937984_.zip,0.05,_model_00002_0_0.256_77824_.zip,0.26,base,-0.31
6,3,_model_00006_0_0.244_937984_.zip,0.33,_model_00003_0_0.256_610304_.zip,-0.03,base,-0.3
6,4,_model_00006_0_0.244_937984_.zip,0.27,_model_00004_0_0.239_692224_.zip,0.19,base,-0.46
6,5,_model_00006_0_0.244_937984_.zip,0.27,_model_00005_0_0.289_774144_.zip,0.24,base,-0.51
6,6,_model_00006_0_0.244_937984_.zip,0.03,_model_00006_0_0.244_937984_.zip,0.26,base,-0.29
