x,y,model0,score0,model1,score1,model2,score2
3,11,_model_00003_0_0.21_323584_.zip,0.21,_model_00011_0_0.206_2899968_.zip,-0.13,base,-0.08
3,12,_model_00003_0_0.21_323584_.zip,-0.01,_model_00012_0_0.325_2981888_.zip,0.14,base,-0.13
3,13,_model_00003_0_0.21_323584_.zip,0.22,_model_00013_0_0.276_3063808_.zip,-0.04,base,-0.18
4,0,_model_00004_0_0.252_446464_.zip,-0.01,base,-0.06,base,0.07
4,1,_model_00004_0_0.252_446464_.zip,0.04,_model_00001_0_0.235_77824_.zip,0.1,base,-0.14
4,2,_model_00004_0_0.252_446464_.zip,0.23,_model_00002_0_0.258_118784_.zip,-0.1,base,-0.13
4,3,_model_00004_0_0.252_446464_.zip,0.1,_model_00003_0_0.21_323584_.zip,0.25,base,-0.35
4,4,_model_00004_0_0.252_446464_.zip,-0.16,_model_00004_0_0.252_446464_.zip,0.11,base,0.05
4,5,_model_00004_0_0.252_446464_.zip,0.11,_model_00005_0_0.242_487424_.zip,-0.03,base,-0.08
4,6,_model_00004_0_0.252_446464_.zip,-0.1,_model_00006_0_0.205_1957888_.zip,0.26,base,-0.16
4,7,_model_00004_0_0.252_446464_.zip,0.07,_model_00007_0_0.204_2162688_.zip,0.09,base,-0.16
4,8,_model_00004_0_0.252_446464_.zip,-0.07,_model_00008_0_0.258_2285568_.zip,-0.04,base,0.11
4,9,_model_00004_0_0.252_446464_.zip,-0.18,_model_00009_0_0.209_2654208_.zip,0.04,base,0.14
4,10,_model_00004_0_0.252_446464_.zip,-0.21,_model_00010_0_0.256_2777088_.zip,0.39,base,-0.18
4,11,_model_00004_0_0.252_446464_.zip,-0.1,_model_00011_0_0.206_2899968_.zip,0.03,base,0.07
4,12,_model_00004_0_0.252_446464_.zip,-0.17,_model_00012_0_0.325_2981888_.zip,0.44,base,-0.27
4,13,_model_00004_0_0.252_446464_.zip,0.15,_model_00013_0_0.276_3063808_.zip,0.02,base,-0.17
5,0,_model_00005_0_0.242_487424_.zip,0.14,base,-0.01,base,-0.13
5,1,_model_00005_0_0.242_487424_.zip,-0.11,_model_00001_0_0.235_77824_.zip,0.07,base,0.04
5,2,_model_00005_0_0.242_487424_.zip,0.27,_model_00002_0_0.258_118784_.zip,-0.08,base,-0.19
5,3,_model_00005_0_0.242_487424_.zip,0.03,_model_00003_0_0.21_323584_.zip,0.09,base,-0.12
5,4,_model_00005_0_0.242_487424_.zip,0.06,_model_00004_0_0.252_446464_.zip,0.1,base,-0.16
5,5,_model_00005_0_0.242_487424_.zip,-0.05,_model_00005_0_0.242_487424_.zip,0.08,base,-0.03
5,6,_model_00005_0_0.242_487424_.zip,0.04,_model_00006_0_0.205_1957888_.zip,0.06,base,-0.1
5,7,_model_00005_0_0.242_487424_.zip,0.19,_model_00007_0_0.204_2162688_.zip,-0.02,base,-0.17
5,8,_model_00005_0_0.242_487424_.zip,0.0,_model_00008_0_0.258_2285568_.zip,0.18,base,-0.18
5,9,_model_00005_0_0.242_487424_.zip,-0.08,_model_00009_0_0.209_2654208_.zip,0.05,base,0.03
5,10,_model_00005_0_0.242_487424_.zip,-0.12,_model_00010_0_0.256_2777088_.zip,0.1,base,0.02
5,11,_model_00005_0_0.242_487424_.zip,0.0,_model_00011_0_0.206_2899968_.zip,-0.02,base,0.02
5,12,_model_00005_0_0.242_487424_.zip,-0.29,_model_00012_0_0.325_2981888_.zip,0.23,base,0.06
5,13,_model_00005_0_0.242_487424_.zip,0.11,_model_00013_0_0.276_3063808_.zip,-0.01,base,-0.1
6,0,_model_00006_0_0.205_1957888_.zip,0.21,base,-0.27,base,0.06
6,1,_model_00006_0_0.205_1957888_.zip,0.24,_model_00001_0_0.235_77824_.zip,-0.13,base,-0.11
6,2,_model_00006_0_0.205_1957888_.zip,0.39,_model_00002_0_0.258_118784_.zip,-0.16,base,-0.23
6,3,_model_00006_0_0.205_1957888_.zip,0.09,_model_00003_0_0.21_323584_.zip,0.07,base,-0.16
6,4,_model_00006_0_0.205_1957888_.zip,0.36,_model_00004_0_0.252_446464_.zip,-0.48,base,0.12
6,5,_model_00006_0_0.205_1957888_.zip,-0.05,_model_00005_0_0.242_487424_.zip,-0.1,base,0.15
6,6,_model_00006_0_0.205_1957888_.zip,-0.33,_model_00006_0_0.205_1957888_.zip,0.18,base,0.15
6,7,_model_00006_0_0.205_1957888_.zip,0.1,_model_00007_0_0.204_2162688_.zip,0.02,base,-0.12
6,8,_model_00006_0_0.205_1957888_.zip,0.15,_model_00008_0_0.258_2285568_.zip,0.15,base,-0.3
6,9,_model_00006_0_0.205_1957888_.zip,0.05,_model_00009_0_0.209_2654208_.zip,-0.04,base,-0.01
6,10,_model_00006_0_0.205_1957888_.zip,-0.04,_model_00010_0_0.256_2777088_.zip,-0.03,base,0.07
6,11,_model_00006_0_0.205_1957888_.zip,0.29,_model_00011_0_0.206_2899968_.zip,-0.11,base,-0.18
6,12,_model_00006_0_0.205_1957888_.zip,0.0,_model_00012_0_0.325_2981888_.zip,0.2,base,-0.2
6,13,_model_00006_0_0.205_1957888_.zip,0.21,_model_00013_0_0.276_3063808_.zip,0.07,base,-0.28
7,0,_model_00007_0_0.204_2162688_.zip,0.04,base,-0.1,base,0.06
7,1,_model_00007_0_0.204_2162688_.zip,0.11,_model_00001_0_0.235_77824_.zip,0.16,base,-0.27
7,2,_model_00007_0_0.204_2162688_.zip,0.19,_model_00002_0_0.258_118784_.zip,-0.13,base,-0.06
7,3,_model_00007_0_0.204_2162688_.zip,0.06,_model_00003_0_0.21_323584_.zip,-0.05,base,-0.01
7,4,_model_00007_0_0.204_2162688_.zip,-0.25,_model_00004_0_0.252_446464_.zip,-0.05,base,0.3
7,5,_model_00007_0_0.204_2162688_.zip,-0.09,_model_00005_0_0.242_487424_.zip,0.09,base,0.0
7,6,_model_00007_0_0.204_2162688_.zip,0.0,_model_00006_0_0.205_1957888_.zip,0.28,base,-0.28
7,7,_model_00007_0_0.204_2162688_.zip,0.05,_model_00007_0_0.204_2162688_.zip,-0.16,base,0.11
7,8,_model_00007_0_0.204_2162688_.zip,0.03,_model_00008_0_0.258_2285568_.zip,0.31,base,-0.34
7,9,_model_00007_0_0.204_2162688_.zip,-0.02,_model_00009_0_0.209_2654208_.zip,0.07,base,-0.05
7,10,_model_00007_0_0.204_2162688_.zip,-0.07,_model_00010_0_0.256_2777088_.zip,0.12,base,-0.05
7,11,_model_00007_0_0.204_2162688_.zip,-0.07,_model_00011_0_0.206_2899968_.zip,0.1,base,-0.03
7,12,_model_00007_0_0.204_2162688_.zip,-0.11,_model_00012_0_0.325_2981888_.zip,0.33,base,-0.22
7,13,_model_00007_0_0.204_2162688_.zip,0.14,_model_00013_0_0.276_3063808_.zip,0.03,base,-0.17
8,0,_model_00008_0_0.258_2285568_.zip,0.09,base,0.0,base,-0.09
8,1,_model_00008_0_0.258_2285568_.zip,0.07,_model_00001_0_0.235_77824_.zip,0.02,base,-0.09
8,2,_model_00008_0_0.258_2285568_.zip,0.18,_model_00002_0_0.258_118784_.zip,-0.01,base,-0.17
8,3,_model_00008_0_0.258_2285568_.zip,0.01,_model_00003_0_0.21_323584_.zip,0.07,base,-0.08
8,4,_model_00008_0_0.258_2285568_.zip,0.13,_model_00004_0_0.252_446464_.zip,-0.06,base,-0.07
8,5,_model_00008_0_0.258_2285568_.zip,0.28,_model_00005_0_0.242_487424_.zip,-0.02,base,-0.26
8,6,_model_00008_0_0.258_2285568_.zip,0.11,_model_00006_0_0.205_1957888_.zip,-0.09,base,-0.02
8,7,_model_00008_0_0.258_2285568_.zip,0.15,_model_00007_0_0.204_2162688_.zip,-0.01,base,-0.14
8,8,_model_00008_0_0.258_2285568_.zip,0.13,_model_00008_0_0.258_2285568_.zip,0.04,base,-0.17
8,9,_model_00008_0_0.258_2285568_.zip,0.23,_model_00009_0_0.209_2654208_.zip,0.07,base,-0.3
8,10,_model_00008_0_0.258_2285568_.zip,-0.02,_model_00010_0_0.256_2777088_.zip,0.14,base,-0.12
8,11,_model_00008_0_0.258_2285568_.zip,0.23,_model_00011_0_0.206_2899968_.zip,0.01,base,-0.24
8,12,_model_00008_0_0.258_2285568_.zip,-0.16,_model_00012_0_0.325_2981888_.zip,0.01,base,0.15
8,13,_model_00008_0_0.258_2285568_.zip,0.36,_model_00013_0_0.276_3063808_.zip,-0.02,base,-0.34
9,0,_model_00009_0_0.209_2654208_.zip,0.02,base,-0.02,base,0.0
9,1,_model_00009_0_0.209_2654208_.zip,-0.17,_model_00001_0_0.235_77824_.zip,0.24,base,-0.07
9,2,_model_00009_0_0.209_2654208_.zip,-0.09,_model_00002_0_0.258_118784_.zip,0.08,base,0.01
9,3,_model_00009_0_0.209_2654208_.zip,0.14,_model_00003_0_0.21_323584_.zip,-0.01,base,-0.13
9,4,_model_00009_0_0.209_2654208_.zip,-0.06,_model_00004_0_0.252_446464_.zip,0.15,base,-0.09
9,5,_model_00009_0_0.209_2654208_.zip,-0.08,_model_00005_0_0.242_487424_.zip,0.13,base,-0.05
9,6,_model_00009_0_0.209_2654208_.zip,-0.11,_model_00006_0_0.205_1957888_.zip,0.24,base,-0.13
9,7,_model_00009_0_0.209_2654208_.zip,-0.1,_model_00007_0_0.204_2162688_.zip,0.21,base,-0.11
9,8,_model_00009_0_0.209_2654208_.zip,-0.02,_model_00008_0_0.258_2285568_.zip,0.14,base,-0.12
9,9,_model_00009_0_0.209_2654208_.zip,0.09,_model_00009_0_0.209_2654208_.zip,-0.15,base,0.06
9,10,_model_00009_0_0.209_2654208_.zip,0.18,_model_00010_0_0.256_2777088_.zip,0.09,base,-0.27
9,11,_model_00009_0_0.209_2654208_.zip,0.06,_model_00011_0_0.206_2899968_.zip,-0.14,base,0.08
9,12,_model_00009_0_0.209_2654208_.zip,0.08,_model_00012_0_0.325_2981888_.zip,0.18,base,-0.26
9,13,_model_00009_0_0.209_2654208_.zip,-0.06,_model_00013_0_0.276_3063808_.zip,0.11,base,-0.05
10,0,_model_00010_0_0.256_2777088_.zip,0.21,base,0.11,base,-0.32
10,1,_model_00010_0_0.256_2777088_.zip,0.08,_model_00001_0_0.235_77824_.zip,-0.08,base,0.0
10,2,_model_00010_0_0.256_2777088_.zip,0.24,_model_00002_0_0.258_118784_.zip,-0.14,base,-0.1
10,3,_model_00010_0_0.256_2777088_.zip,0.29,_model_00003_0_0.21_323584_.zip,0.02,base,-0.31
10,4,_model_00010_0_0.256_2777088_.zip,0.13,_model_00004_0_0.252_446464_.zip,-0.01,base,-0.12
10,5,_model_00010_0_0.256_2777088_.zip,0.12,_model_00005_0_0.242_487424_.zip,0.0,base,-0.12
10,6,_model_00010_0_0.256_2777088_.zip,-0.04,_model_00006_0_0.205_1957888_.zip,0.01,base,0.03
10,7,_model_00010_0_0.256_2777088_.zip,0.18,_model_00007_0_0.204_2162688_.zip,0.03,base,-0.21
10,8,_model_00010_0_0.256_2777088_.zip,0.09,_model_00008_0_0.258_2285568_.zip,-0.03,base,-0.06
10,9,_model_00010_0_0.256_2777088_.zip,0.53,_model_00009_0_0.209_2654208_.zip,-0.13,base,-0.4
10,10,_model_00010_0_0.256_2777088_.zip,-0.2,_model_00010_0_0.256_2777088_.zip,-0.14,base,0.34
10,11,_model_00010_0_0.256_2777088_.zip,0.1,_model_00011_0_0.206_2899968_.zip,0.08,base,-0.18
10,12,_model_00010_0_0.256_2777088_.zip,-0.15,_model_00012_0_0.325_2981888_.zip,0.19,base,-0.04
10,13,_model_00010_0_0.256_2777088_.zip,0.17,_model_00013_0_0.276_3063808_.zip,0.06,base,-0.23
11,0,_model_00011_0_0.206_2899968_.zip,0.13,base,-0.1,base,-0.03
11,1,_model_00011_0_0.206_2899968_.zip,0.1,_model_00001_0_0.235_77824_.zip,0.22,base,-0.32
11,2,_model_00011_0_0.206_2899968_.zip,0.25,_model_00002_0_0.258_118784_.zip,-0.02,base,-0.23
11,3,_model_00011_0_0.206_2899968_.zip,0.11,_model_00003_0_0.21_323584_.zip,0.04,base,-0.15
11,4,_model_00011_0_0.206_2899968_.zip,0.04,_model_00004_0_0.252_446464_.zip,0.02,base,-0.06
11,5,_model_00011_0_0.206_2899968_.zip,-0.21,_model_00005_0_0.242_487424_.zip,0.17,base,0.04
11,6,_model_00011_0_0.206_2899968_.zip,0.0,_model_00006_0_0.205_1957888_.zip,0.14,base,-0.14
11,7,_model_00011_0_0.206_2899968_.zip,-0.03,_model_00007_0_0.204_2162688_.zip,0.05,base,-0.02
11,8,_model_00011_0_0.206_2899968_.zip,-0.06,_model_00008_0_0.258_2285568_.zip,0.23,base,-0.17
11,9,_model_00011_0_0.206_2899968_.zip,-0.01,_model_00009_0_0.209_2654208_.zip,0.12,base,-0.11
11,10,_model_00011_0_0.206_2899968_.zip,0.14,_model_00010_0_0.256_2777088_.zip,0.07,base,-0.21
11,11,_model_00011_0_0.206_2899968_.zip,-0.02,_model_00011_0_0.206_2899968_.zip,0.07,base,-0.05
11,12,_model_00011_0_0.206_2899968_.zip,-0.22,_model_00012_0_0.325_2981888_.zip,0.52,base,-0.3
