x,y,model0,score0,model1,score1,model2,score2
4,4,_model_00016_0_0.206_2494464_.zip,0.22,_model_00016_0_0.206_2494464_.zip,0.1,base,-0.32
4,5,_model_00016_0_0.206_2494464_.zip,0.26,_model_00021_0_0.206_3149824_.zip,0.21,base,-0.47
4,6,_model_00016_0_0.206_2494464_.zip,0.21,_model_00026_0_0.202_4173824_.zip,0.23,base,-0.44
4,7,_model_00016_0_0.206_2494464_.zip,0.18,_model_00031_0_0.231_4993024_.zip,0.22,base,-0.4
4,8,_model_00016_0_0.206_2494464_.zip,0.38,_model_00036_0_0.218_5525504_.zip,0.06,base,-0.44
4,9,_model_00016_0_0.206_2494464_.zip,0.01,_model_00041_0_0.239_5976064_.zip,0.04,base,-0.05
4,10,_model_00016_0_0.206_2494464_.zip,0.18,_model_00046_0_0.239_6385664_.zip,0.34,base,-0.52
4,11,_model_00016_0_0.206_2494464_.zip,0.12,_model_00051_0_0.236_6754304_.zip,0.14,base,-0.26
5,0,_model_00021_0_0.206_3149824_.zip,0.72,base,-0.32,base,-0.4
5,1,_model_00021_0_0.206_3149824_.zip,0.6,_model_00001_0_0.2_36864_.zip,-0.26,base,-0.34
5,2,_model_00021_0_0.206_3149824_.zip,0.18,_model_00006_0_0.24_1060864_.zip,0.2,base,-0.38
5,3,_model_00021_0_0.206_3149824_.zip,0.3,_model_00011_0_0.211_1552384_.zip,0.25,base,-0.55
5,4,_model_00021_0_0.206_3149824_.zip,0.22,_model_00016_0_0.206_2494464_.zip,0.0,base,-0.22
5,5,_model_00021_0_0.206_3149824_.zip,0.36,_model_00021_0_0.206_3149824_.zip,0.12,base,-0.48
5,6,_model_00021_0_0.206_3149824_.zip,0.14,_model_00026_0_0.202_4173824_.zip,0.22,base,-0.36
5,7,_model_00021_0_0.206_3149824_.zip,0.15,_model_00031_0_0.231_4993024_.zip,0.28,base,-0.43
5,8,_model_00021_0_0.206_3149824_.zip,0.28,_model_00036_0_0.218_5525504_.zip,0.06,base,-0.34
5,9,_model_00021_0_0.206_3149824_.zip,0.21,_model_00041_0_0.239_5976064_.zip,0.09,base,-0.3
5,10,_model_00021_0_0.206_3149824_.zip,0.16,_model_00046_0_0.239_6385664_.zip,0.26,base,-0.42
5,11,_model_00021_0_0.206_3149824_.zip,0.02,_model_00051_0_0.236_6754304_.zip,0.32,base,-0.34
6,0,_model_00026_0_0.202_4173824_.zip,0.62,base,-0.31,base,-0.31
6,1,_model_00026_0_0.202_4173824_.zip,0.47,_model_00001_0_0.2_36864_.zip,-0.19,base,-0.28
6,2,_model_00026_0_0.202_4173824_.zip,0.17,_model_00006_0_0.24_1060864_.zip,0.14,base,-0.31
6,3,_model_00026_0_0.202_4173824_.zip,0.46,_model_00011_0_0.211_1552384_.zip,-0.1,base,-0.36
6,4,_model_00026_0_0.202_4173824_.zip,0.27,_model_00016_0_0.206_2494464_.zip,0.1,base,-0.37
6,5,_model_00026_0_0.202_4173824_.zip,0.27,_model_00021_0_0.206_3149824_.zip,0.29,base,-0.56
6,6,_model_00026_0_0.202_4173824_.zip,0.24,_model_00026_0_0.202_4173824_.zip,0.08,base,-0.32
6,7,_model_00026_0_0.202_4173824_.zip,0.16,_model_00031_0_0.231_4993024_.zip,0.11,base,-0.27
6,8,_model_00026_0_0.202_4173824_.zip,0.2,_model_00036_0_0.218_5525504_.zip,0.14,base,-0.34
6,9,_model_00026_0_0.202_4173824_.zip,0.25,_model_00041_0_0.239_5976064_.zip,0.11,base,-0.36
6,10,_model_00026_0_0.202_4173824_.zip,0.28,_model_00046_0_0.239_6385664_.zip,0.08,base,-0.36
6,11,_model_00026_0_0.202_4173824_.zip,0.33,_model_00051_0_0.236_6754304_.zip,0.15,base,-0.48
7,0,_model_00031_0_0.231_4993024_.zip,0.64,base,-0.2,base,-0.44
7,1,_model_00031_0_0.231_4993024_.zip,0.44,_model_00001_0_0.2_36864_.zip,-0.15,base,-0.29
7,2,_model_00031_0_0.231_4993024_.zip,0.17,_model_00006_0_0.24_1060864_.zip,-0.06,base,-0.11
7,3,_model_00031_0_0.231_4993024_.zip,0.17,_model_00011_0_0.211_1552384_.zip,0.19,base,-0.36
7,4,_model_00031_0_0.231_4993024_.zip,0.23,_model_00016_0_0.206_2494464_.zip,0.18,base,-0.41
