x,y,model0,score0,model1,score1,model2,score2
5,1,_model_00009_0_0.224_17199104_.zip,0.47,_model_00001_0_0.284_77824_.zip,-0.43,base,-0.04
5,2,_model_00009_0_0.224_17199104_.zip,0.0,_model_00003_0_0.201_1306624_.zip,-0.07,base,0.07
5,3,_model_00009_0_0.224_17199104_.zip,-0.1,_model_00005_0_0.241_10563584_.zip,0.03,base,0.07
5,4,_model_00009_0_0.224_17199104_.zip,0.15,_model_00007_0_0.202_16175104_.zip,0.04,base,-0.19
5,5,_model_00009_0_0.224_17199104_.zip,-0.04,_model_00009_0_0.224_17199104_.zip,0.01,base,0.03
5,6,_model_00009_0_0.224_17199104_.zip,0.0,_model_00011_0_0.204_18305024_.zip,0.12,base,-0.12
5,7,_model_00009_0_0.224_17199104_.zip,0.01,_model_00013_0_0.21_34279424_.zip,0.11,base,-0.12
5,8,_model_00009_0_0.224_17199104_.zip,0.1,_model_00015_0_0.219_40300544_.zip,-0.12,base,0.02
5,9,_model_00009_0_0.224_17199104_.zip,0.15,_model_00017_0_0.244_48697344_.zip,0.02,base,-0.17
6,0,_model_00011_0_0.204_18305024_.zip,0.74,base,-0.28,base,-0.46
6,1,_model_00011_0_0.204_18305024_.zip,0.6,_model_00001_0_0.284_77824_.zip,-0.38,base,-0.22
6,2,_model_00011_0_0.204_18305024_.zip,-0.11,_model_00003_0_0.201_1306624_.zip,-0.18,base,0.29
6,3,_model_00011_0_0.204_18305024_.zip,0.02,_model_00005_0_0.241_10563584_.zip,-0.01,base,-0.01
6,4,_model_00011_0_0.204_18305024_.zip,0.0,_model_00007_0_0.202_16175104_.zip,-0.06,base,0.06
6,5,_model_00011_0_0.204_18305024_.zip,-0.02,_model_00009_0_0.224_17199104_.zip,-0.32,base,0.34
6,6,_model_00011_0_0.204_18305024_.zip,-0.05,_model_00011_0_0.204_18305024_.zip,0.14,base,-0.09
6,7,_model_00011_0_0.204_18305024_.zip,-0.04,_model_00013_0_0.21_34279424_.zip,0.01,base,0.03
6,8,_model_00011_0_0.204_18305024_.zip,0.04,_model_00015_0_0.219_40300544_.zip,-0.03,base,-0.01
6,9,_model_00011_0_0.204_18305024_.zip,-0.07,_model_00017_0_0.244_48697344_.zip,0.09,base,-0.02
7,0,_model_00013_0_0.21_34279424_.zip,0.88,base,-0.41,base,-0.47
7,1,_model_00013_0_0.21_34279424_.zip,0.36,_model_00001_0_0.284_77824_.zip,-0.21,base,-0.15
7,2,_model_00013_0_0.21_34279424_.zip,0.22,_model_00003_0_0.201_1306624_.zip,-0.2,base,-0.02
7,3,_model_00013_0_0.21_34279424_.zip,-0.13,_model_00005_0_0.241_10563584_.zip,0.01,base,0.12
7,4,_model_00013_0_0.21_34279424_.zip,0.31,_model_00007_0_0.202_16175104_.zip,-0.17,base,-0.14
7,5,_model_00013_0_0.21_34279424_.zip,0.1,_model_00009_0_0.224_17199104_.zip,-0.02,base,-0.08
7,6,_model_00013_0_0.21_34279424_.zip,0.05,_model_00011_0_0.204_18305024_.zip,-0.16,base,0.11
7,7,_model_00013_0_0.21_34279424_.zip,-0.01,_model_00013_0_0.21_34279424_.zip,-0.08,base,0.09
7,8,_model_00013_0_0.21_34279424_.zip,-0.11,_model_00015_0_0.219_40300544_.zip,0.12,base,-0.01
7,9,_model_00013_0_0.21_34279424_.zip,0.09,_model_00017_0_0.244_48697344_.zip,-0.02,base,-0.07
8,0,_model_00015_0_0.219_40300544_.zip,0.68,base,-0.35,base,-0.33
8,1,_model_00015_0_0.219_40300544_.zip,0.31,_model_00001_0_0.284_77824_.zip,-0.19,base,-0.12
8,2,_model_00015_0_0.219_40300544_.zip,0.19,_model_00003_0_0.201_1306624_.zip,-0.24,base,0.05
8,3,_model_00015_0_0.219_40300544_.zip,0.1,_model_00005_0_0.241_10563584_.zip,-0.11,base,0.01
8,4,_model_00015_0_0.219_40300544_.zip,-0.03,_model_00007_0_0.202_16175104_.zip,0.07,base,-0.04
8,5,_model_00015_0_0.219_40300544_.zip,-0.1,_model_00009_0_0.224_17199104_.zip,0.08,base,0.02
8,6,_model_00015_0_0.219_40300544_.zip,0.09,_model_00011_0_0.204_18305024_.zip,-0.09,base,0.0
8,7,_model_00015_0_0.219_40300544_.zip,-0.3,_model_00013_0_0.21_34279424_.zip,0.1,base,0.2
8,8,_model_00015_0_0.219_40300544_.zip,-0.12,_model_00015_0_0.219_40300544_.zip,0.07,base,0.05
8,9,_model_00015_0_0.219_40300544_.zip,0.23,_model_00017_0_0.244_48697344_.zip,0.03,base,-0.26
9,0,_model_00017_0_0.244_48697344_.zip,0.71,base,-0.38,base,-0.33
9,1,_model_00017_0_0.244_48697344_.zip,0.29,_model_00001_0_0.284_77824_.zip,-0.14,base,-0.15
9,2,_model_00017_0_0.244_48697344_.zip,0.2,_model_00003_0_0.201_1306624_.zip,-0.33,base,0.13
9,3,_model_00017_0_0.244_48697344_.zip,0.15,_model_00005_0_0.241_10563584_.zip,0.0,base,-0.15
9,4,_model_00017_0_0.244_48697344_.zip,0.25,_model_00007_0_0.202_16175104_.zip,0.14,base,-0.39
9,5,_model_00017_0_0.244_48697344_.zip,-0.05,_model_00009_0_0.224_17199104_.zip,0.26,base,-0.21
9,6,_model_00017_0_0.244_48697344_.zip,-0.1,_model_00011_0_0.204_18305024_.zip,-0.1,base,0.2
9,7,_model_00017_0_0.244_48697344_.zip,0.04,_model_00013_0_0.21_34279424_.zip,-0.01,base,-0.03
9,8,_model_00017_0_0.244_48697344_.zip,0.19,_model_00015_0_0.219_40300544_.zip,-0.06,base,-0.13
9,9,_model_00017_0_0.244_48697344_.zip,0.22,_model_00017_0_0.244_48697344_.zip,0.05,base,-0.27
