x,y,model0,score0,model1,score1,model2,score2
4,7,_model_00016_0_0.201_16912384_.zip,-0.01,_model_00031_0_0.202_27439104_.zip,0.06,base,-0.05
4,8,_model_00016_0_0.201_16912384_.zip,-0.04,_model_00036_0_0.216_28790784_.zip,0.14,base,-0.1
4,9,_model_00016_0_0.201_16912384_.zip,-0.03,_model_00041_0_0.22_29814784_.zip,0.02,base,0.01
4,10,_model_00016_0_0.201_16912384_.zip,0.06,_model_00046_0_0.33_34893824_.zip,0.19,base,-0.25
5,0,_model_00021_0_0.203_18345984_.zip,0.84,base,-0.45,base,-0.39
5,1,_model_00021_0_0.203_18345984_.zip,0.65,_model_00001_0_0.59_36864_.zip,-0.24,base,-0.41
5,2,_model_00021_0_0.203_18345984_.zip,0.2,_model_00006_0_0.248_405504_.zip,0.04,base,-0.24
5,3,_model_00021_0_0.203_18345984_.zip,0.26,_model_00011_0_0.261_4255744_.zip,-0.17,base,-0.09
5,4,_model_00021_0_0.203_18345984_.zip,-0.12,_model_00016_0_0.201_16912384_.zip,0.19,base,-0.07
5,5,_model_00021_0_0.203_18345984_.zip,0.22,_model_00021_0_0.203_18345984_.zip,-0.13,base,-0.09
5,6,_model_00021_0_0.203_18345984_.zip,-0.32,_model_00026_0_0.214_21622784_.zip,0.39,base,-0.07
5,7,_model_00021_0_0.203_18345984_.zip,0.05,_model_00031_0_0.202_27439104_.zip,0.21,base,-0.26
5,8,_model_00021_0_0.203_18345984_.zip,0.06,_model_00036_0_0.216_28790784_.zip,0.34,base,-0.4
5,9,_model_00021_0_0.203_18345984_.zip,-0.07,_model_00041_0_0.22_29814784_.zip,-0.01,base,0.08
5,10,_model_00021_0_0.203_18345984_.zip,-0.03,_model_00046_0_0.33_34893824_.zip,0.17,base,-0.14
6,0,_model_00026_0_0.214_21622784_.zip,0.99,base,-0.39,base,-0.6
6,1,_model_00026_0_0.214_21622784_.zip,0.57,_model_00001_0_0.59_36864_.zip,-0.24,base,-0.33
6,2,_model_00026_0_0.214_21622784_.zip,0.0,_model_00006_0_0.248_405504_.zip,-0.12,base,0.12
6,3,_model_00026_0_0.214_21622784_.zip,0.33,_model_00011_0_0.261_4255744_.zip,-0.14,base,-0.19
6,4,_model_00026_0_0.214_21622784_.zip,0.01,_model_00016_0_0.201_16912384_.zip,-0.2,base,0.19
6,5,_model_00026_0_0.214_21622784_.zip,0.01,_model_00021_0_0.203_18345984_.zip,0.0,base,-0.01
6,6,_model_00026_0_0.214_21622784_.zip,0.09,_model_00026_0_0.214_21622784_.zip,-0.12,base,0.03
6,7,_model_00026_0_0.214_21622784_.zip,0.03,_model_00031_0_0.202_27439104_.zip,0.12,base,-0.15
6,8,_model_00026_0_0.214_21622784_.zip,-0.05,_model_00036_0_0.216_28790784_.zip,-0.04,base,0.09
6,9,_model_00026_0_0.214_21622784_.zip,0.15,_model_00041_0_0.22_29814784_.zip,0.08,base,-0.23
6,10,_model_00026_0_0.214_21622784_.zip,0.07,_model_00046_0_0.33_34893824_.zip,0.0,base,-0.07
7,0,_model_00031_0_0.202_27439104_.zip,0.84,base,-0.49,base,-0.35
7,1,_model_00031_0_0.202_27439104_.zip,0.69,_model_00001_0_0.59_36864_.zip,-0.57,base,-0.12
7,2,_model_00031_0_0.202_27439104_.zip,-0.25,_model_00006_0_0.248_405504_.zip,0.18,base,0.07
7,3,_model_00031_0_0.202_27439104_.zip,0.16,_model_00011_0_0.261_4255744_.zip,-0.01,base,-0.15
7,4,_model_00031_0_0.202_27439104_.zip,-0.12,_model_00016_0_0.201_16912384_.zip,0.27,base,-0.15
7,5,_model_00031_0_0.202_27439104_.zip,-0.03,_model_00021_0_0.203_18345984_.zip,0.23,base,-0.2
7,6,_model_00031_0_0.202_27439104_.zip,0.06,_model_00026_0_0.214_21622784_.zip,0.11,base,-0.17
7,7,_model_00031_0_0.202_27439104_.zip,-0.08,_model_00031_0_0.202_27439104_.zip,0.12,base,-0.04
7,8,_model_00031_0_0.202_27439104_.zip,-0.08,_model_00036_0_0.216_28790784_.zip,0.06,base,0.02
7,9,_model_00031_0_0.202_27439104_.zip,-0.02,_model_00041_0_0.22_29814784_.zip,0.16,base,-0.14
7,10,_model_00031_0_0.202_27439104_.zip,0.0,_model_00046_0_0.33_34893824_.zip,0.05,base,-0.05
8,0,_model_00036_0_0.216_28790784_.zip,0.86,base,-0.37,base,-0.49
8,1,_model_00036_0_0.216_28790784_.zip,0.73,_model_00001_0_0.59_36864_.zip,-0.35,base,-0.38
8,2,_model_00036_0_0.216_28790784_.zip,0.13,_model_00006_0_0.248_405504_.zip,-0.29,base,0.16
8,3,_model_00036_0_0.216_28790784_.zip,0.01,_model_00011_0_0.261_4255744_.zip,-0.09,base,0.08
8,4,_model_00036_0_0.216_28790784_.zip,0.09,_model_00016_0_0.201_16912384_.zip,0.01,base,-0.1
8,5,_model_00036_0_0.216_28790784_.zip,0.43,_model_00021_0_0.203_18345984_.zip,-0.16,base,-0.27
8,6,_model_00036_0_0.216_28790784_.zip,0.16,_model_00026_0_0.214_21622784_.zip,-0.09,base,-0.07
8,7,_model_00036_0_0.216_28790784_.zip,0.28,_model_00031_0_0.202_27439104_.zip,-0.14,base,-0.14
8,8,_model_00036_0_0.216_28790784_.zip,-0.11,_model_00036_0_0.216_28790784_.zip,-0.1,base,0.21
8,9,_model_00036_0_0.216_28790784_.zip,0.32,_model_00041_0_0.22_29814784_.zip,0.17,base,-0.49
8,10,_model_00036_0_0.216_28790784_.zip,-0.04,_model_00046_0_0.33_34893824_.zip,0.11,base,-0.07
9,0,_model_00041_0_0.22_29814784_.zip,0.96,base,-0.45,base,-0.51
9,1,_model_00041_0_0.22_29814784_.zip,0.59,_model_00001_0_0.59_36864_.zip,-0.24,base,-0.35
9,2,_model_00041_0_0.22_29814784_.zip,0.09,_model_00006_0_0.248_405504_.zip,0.02,base,-0.11
9,3,_model_00041_0_0.22_29814784_.zip,0.17,_model_00011_0_0.261_4255744_.zip,0.13,base,-0.3
9,4,_model_00041_0_0.22_29814784_.zip,-0.03,_model_00016_0_0.201_16912384_.zip,0.24,base,-0.21
9,5,_model_00041_0_0.22_29814784_.zip,0.26,_model_00021_0_0.203_18345984_.zip,0.02,base,-0.28
9,6,_model_00041_0_0.22_29814784_.zip,0.01,_model_00026_0_0.214_21622784_.zip,0.13,base,-0.14
9,7,_model_00041_0_0.22_29814784_.zip,0.21,_model_00031_0_0.202_27439104_.zip,-0.13,base,-0.08
9,8,_model_00041_0_0.22_29814784_.zip,-0.09,_model_00036_0_0.216_28790784_.zip,0.32,base,-0.23
9,9,_model_00041_0_0.22_29814784_.zip,0.02,_model_00041_0_0.22_29814784_.zip,0.0,base,-0.02
9,10,_model_00041_0_0.22_29814784_.zip,-0.1,_model_00046_0_0.33_34893824_.zip,0.37,base,-0.27
10,0,_model_00046_0_0.33_34893824_.zip,0.83,base,-0.58,base,-0.25
10,1,_model_00046_0_0.33_34893824_.zip,0.69,_model_00001_0_0.59_36864_.zip,-0.48,base,-0.21
10,2,_model_00046_0_0.33_34893824_.zip,0.12,_model_00006_0_0.248_405504_.zip,-0.18,base,0.06
10,3,_model_00046_0_0.33_34893824_.zip,0.16,_model_00011_0_0.261_4255744_.zip,-0.16,base,0.0
10,4,_model_00046_0_0.33_34893824_.zip,0.05,_model_00016_0_0.201_16912384_.zip,-0.18,base,0.13
10,5,_model_00046_0_0.33_34893824_.zip,0.26,_model_00021_0_0.203_18345984_.zip,0.0,base,-0.26
10,6,_model_00046_0_0.33_34893824_.zip,0.04,_model_00026_0_0.214_21622784_.zip,-0.04,base,0.0
10,7,_model_00046_0_0.33_34893824_.zip,0.12,_model_00031_0_0.202_27439104_.zip,0.08,base,-0.2
10,8,_model_00046_0_0.33_34893824_.zip,0.03,_model_00036_0_0.216_28790784_.zip,-0.16,base,0.13
10,9,_model_00046_0_0.33_34893824_.zip,0.33,_model_00041_0_0.22_29814784_.zip,-0.15,base,-0.18
10,10,_model_00046_0_0.33_34893824_.zip,-0.08,_model_00046_0_0.33_34893824_.zip,0.09,base,-0.01
